TooExpensive,Expensive,Cheap,TooCheap
50,25,20,10
15,10,10,10
50,45,35,20
75,65,40,30
80,60,30,20
80,50,50,30
40,30,25,20
60,60,60,60
80,60,45,30
55,55,50,30
60,60,60,10
60,60,60,60
80,70,60,10
75,70,50,30
80,60,60,10
60,60,25,10
65,50,10,10
60,30,30,20
80,25,20,10
40,35,25,15
60,60,60,60
65,60,60,60
30,15,10,10
60,35,20,10
60,50,40,10
50,40,30,15
35,30,15,10
60,60,60,60
70,60,50,30
70,60,40,10
60,45,35,20
80,75,45,10
40,30,20,15
65,60,40,35
60,60,60,60
70,50,50,30
80,65,50,40
70,70,50,10
60,45,30,20
60,40,20,10
60,50,40,15
50,40,35,15
60,45,25,10
15,10,10,10
80,60,50,35
30,20,20,10
20,20,10,10
30,25,15,10
70,60,30,10
80,50,40,20
40,40,20,10
80,80,60,40
70,60,55,40
80,70,50,10
80,80,60,20
60,60,60,60
70,65,50,40
70,60,40,20
20,20,10,10
35,30,30,10
80,60,40,30
70,50,40,25
60,50,25,15
70,65,50,20
60,60,50,40
80,55,40,20
70,70,60,55
80,60,50,10
80,60,55,40
80,80,40,40
50,20,15,10
60,40,20,10
50,30,10,10
70,60,20,10
60,50,30,15
80,50,30,10
50,35,25,10
15,15,15,15
60,60,60,60
80,75,30,10
60,40,20,10
50,45,45,40
70,55,45,30
60,60,30,10
80,75,30,15
40,30,25,10
60,50,35,10
75,60,40,25
40,20,15,10
40,25,20,10
50,30,20,10
60,60,60,10
10,10,10,10
60,60,60,60
70,55,45,20
10,10,10,10
10,10,10,10
50,45,40,35
50,40,35,25
40,30,25,20
40,20,10,10
70,60,30,10
55,50,30,20
70,60,40,25
60,50,40,20
80,60,50,40
50,50,50,50
65,60,60,10
60,40,30,20
80,80,60,10
50,40,35,10
80,60,20,10
60,30,20,10
80,65,35,10
60,60,60,60
35,20,15,10
80,60,30,20
25,15,10,10
60,60,60,60
40,30,20,10
60,45,35,15
60,60,60,60
30,25,20,10
80,60,50,30
80,70,50,40
70,60,40,30
70,40,20,10
40,40,40,10
65,60,40,20
70,60,60,10
65,55,45,15
50,50,35,25
60,60,60,60
80,45,20,10
80,60,30,10
60,50,50,50
50,40,35,20
70,60,50,30
60,60,50,25
50,40,40,30
60,60,50,30
75,60,25,10
30,20,15,10
70,60,40,10
10,10,10,10
10,10,10,10
80,65,55,45
80,60,30,10
55,30,20,10
65,40,35,20
50,30,20,10
80,60,60,20
80,80,60,30
60,60,50,10
60,40,30,20
50,40,25,10
40,40,25,10
50,50,45,40
70,60,50,45
80,65,40,20
60,60,60,60
80,60,45,10
10,10,10,10
30,20,20,10
80,80,10,10
75,55,55,45
60,40,25,10
80,60,40,10
60,60,50,30
80,60,50,40
60,60,60,60
60,60,20,10
40,25,20,10
80,70,50,30
80,60,40,20
80,80,60,40
80,70,50,30
70,65,50,30
35,25,20,10
60,50,25,15
60,60,60,60
80,40,30,10
80,60,40,20
40,20,15,10
60,60,60,60
50,40,20,10
25,25,25,25
60,60,60,60
80,65,50,35
25,20,15,10
75,70,45,15
60,60,60,60
60,45,25,10
80,60,50,40
60,60,60,60
50,35,25,15
50,40,25,15
80,50,25,10
80,75,45,25
50,50,40,15
30,20,20,10
45,30,25,20
50,50,20,10
60,35,30,15
60,60,45,10
80,80,45,40
80,75,35,15
60,50,40,10
50,35,20,15
80,70,50,35
65,50,15,10
60,45,40,30
80,70,50,30
50,40,20,10
50,30,20,10
15,15,15,15
60,60,60,60
80,70,50,30
30,20,15,10
80,80,20,10
80,70,50,10
70,60,50,40
80,65,25,10
60,60,60,60
80,70,30,15
70,45,35,15
60,40,35,15
80,80,60,30
60,50,40,30
80,70,60,40
80,50,40,20
75,65,35,30
70,60,30,20
60,50,20,10
80,60,40,25
80,80,60,35
60,60,45,35
60,50,40,25
30,25,20,10
40,35,35,15
25,25,25,10
50,40,25,15
80,60,55,10
75,65,45,40
30,25,20,10
50,30,20,10
55,50,40,25
60,60,60,60
50,45,40,30
40,30,20,15
75,65,40,35
80,60,60,25
60,60,50,40
60,60,60,60
70,60,30,20
75,60,50,45
60,20,20,10
60,60,50,10
80,60,30,10
80,60,45,30
60,60,60,60
60,60,60,60
80,50,35,10
60,60,40,20
60,50,25,15
80,60,50,30
80,70,50,20
50,45,30,25
60,60,15,10
70,60,35,20
60,60,60,60
60,45,30,20
80,40,20,10
60,50,40,25
