TooExpensive,Expensive,Cheap,TooCheap
80,45,35,20
50,50,40,30
40,25,20,10
80,50,20,10
60,60,60,60
60,50,20,15
80,70,40,10
60,60,30,10
70,60,35,10
50,10,10,10
40,35,30,20
10,10,10,10
60,45,40,30
60,60,60,60
70,60,20,10
50,50,50,50
40,30,15,10
55,50,50,10
80,45,30,10
60,60,60,60
80,80,60,10
80,80,80,10
60,40,30,15
80,60,30,10
60,60,60,60
60,40,20,10
55,35,20,10
30,15,15,10
60,60,60,60
10,10,10,10
40,35,15,10
60,60,45,45
35,20,10,10
80,60,35,10
80,55,40,10
10,10,10,10
60,50,35,10
45,35,25,15
40,35,30,10
50,50,50,50
60,40,35,20
75,60,50,30
60,40,30,20
70,55,50,20
60,60,25,15
80,40,25,15
80,40,20,10
60,60,60,60
20,20,20,20
50,50,50,50
60,50,25,20
80,60,20,15
80,60,40,30
80,60,20,10
60,60,45,10
50,50,50,10
60,40,20,15
60,45,40,20
60,60,20,20
70,60,30,30
70,60,45,40
20,15,10,10
70,60,40,15
60,60,60,60
65,55,55,30
60,60,60,60
50,40,40,10
80,70,35,15
60,60,60,60
50,50,50,50
80,40,40,10
60,60,45,10
80,65,60,15
50,40,30,10
60,60,60,60
60,60,60,60
60,60,60,60
80,50,40,10
60,60,60,60
80,60,45,30
60,60,60,60
30,20,15,10
60,60,60,30
80,60,45,30
60,30,20,10
40,25,20,10
50,50,50,30
60,60,40,20
60,60,60,60
30,25,20,15
80,60,30,10
60,30,25,10
65,50,50,30
30,30,20,15
65,60,60,60
60,60,60,30
80,80,50,35
60,50,40,30
45,35,25,20
80,60,30,10
10,10,10,10
