TooExpensive,Expensive,Cheap,TooCheap
50,30,20,10
60,15,15,10
50,40,30,20
60,50,30,20
50,20,20,10
55,50,40,30
40,35,25,20
70,65,55,50
30,25,20,10
60,60,60,60
80,60,20,10
10,10,10,10
25,20,15,15
50,50,25,10
75,60,45,35
60,20,15,10
40,35,25,15
30,25,15,10
40,35,30,20
15,10,10,10
35,20,10,10
60,35,30,15
80,60,60,20
60,50,35,25
25,20,15,10
60,60,60,60
80,60,60,40
45,35,20,15
15,10,10,10
50,40,35,25
25,25,10,10
40,35,30,20
60,35,20,10
55,45,40,25
70,50,40,20
80,60,50,10
40,40,30,20
45,35,30,20
60,60,60,60
60,30,20,10
60,60,60,60
60,45,40,20
80,80,60,50
50,40,30,15
60,50,45,40
55,35,20,15
35,25,15,10
30,30,30,30
40,20,20,10
60,60,60,60
50,50,40,20
10,10,10,10
60,60,60,60
40,35,30,20
60,40,30,10
60,60,20,10
60,60,60,50
75,65,45,20
50,25,25,10
40,35,35,20
50,45,30,20
25,20,10,10
30,25,25,20
75,60,45,40
50,45,35,10
50,30,20,10
60,40,40,20
50,35,20,10
80,60,60,40
60,60,60,60
30,25,20,10
50,30,30,20
60,60,60,60
60,60,60,60
80,70,40,30
55,40,30,15
60,35,35,10
80,60,30,15
50,45,30,20
40,40,20,10
80,80,80,10
65,60,20,15
15,10,10,10
40,40,20,10
80,60,60,40
80,50,50,40
80,60,40,30
35,30,20,10
65,50,10,10
60,60,60,60
30,20,10,10
35,30,15,10
10,10,10,10
30,25,20,10
70,50,45,25
45,40,25,15
30,20,10,10
35,25,20,10
10,10,10,10
60,60,60,60
60,60,60,60
60,30,30,10
30,15,10,10
40,30,25,15
70,60,50,40
70,25,15,10
60,60,60,60
30,25,15,15
40,35,25,15
35,20,15,10
60,45,30,15
60,60,60,60
10,10,10,10
50,40,20,10
25,15,15,10
35,35,20,10
50,40,20,10
20,15,10,10
10,10,10,10
30,25,20,15
40,35,20,10
70,45,40,35
60,45,35,30
15,10,10,10
60,40,30,20
60,60,60,60
40,40,40,40
10,10,10,10
60,30,15,10
80,60,50,30
10,10,10,10
80,50,40,30
40,25,20,10
30,25,20,10
60,60,60,60
60,45,35,10
30,20,15,10
80,60,50,40
60,50,25,10
65,60,60,10
60,60,60,60
60,60,60,60
15,15,10,10
50,35,30,20
40,20,10,10
50,40,35,25
25,15,10,10
60,40,30,20
60,60,60,60
35,30,15,10
80,80,60,10
50,40,35,30
15,10,10,10
65,50,40,25
25,15,10,10
40,35,25,15
80,75,60,30
60,50,40,10
80,55,35,15
60,60,50,10
10,10,10,10
50,45,20,15
60,55,40,20
45,35,25,15
25,20,15,10
60,50,50,40
40,40,30,10
50,35,30,25
50,25,20,10
50,30,20,10
70,60,50,30
60,60,60,60
60,40,35,20
65,50,45,20
60,60,60,60
60,60,50,40
50,40,25,10
40,35,30,10
60,20,20,10
35,25,15,10
60,60,60,60
60,60,35,10
25,20,20,15
60,40,25,10
60,35,25,10
75,55,50,50
60,50,30,15
50,35,25,10
25,15,10,10
10,10,10,10
30,25,20,10
30,30,10,10
45,40,35,25
70,70,50,50
50,40,30,15
45,40,30,10
80,35,30,20
65,45,35,20
50,40,30,10
80,40,20,10
40,20,15,10
70,40,40,25
60,40,20,10
50,40,30,20
40,40,30,10
60,40,30,25
60,60,60,60
80,70,40,30
80,60,60,25
80,70,65,25
80,25,10,10
60,60,60,60
50,40,30,10
80,45,45,10
60,60,60,60
45,30,15,10
15,15,15,10
80,60,45,10
30,25,20,10
50,40,30,20
40,30,20,10
25,25,15,10
40,30,20,10
40,35,30,20
50,50,10,10
60,60,40,25
60,35,25,10
60,60,60,60
10,10,10,10
60,45,35,30
25,20,15,10
80,50,30,20
50,40,30,10
30,30,30,20
60,60,60,60
45,40,20,10
80,10,10,10
80,40,30,10
60,20,20,10
60,55,45,30
75,60,50,25
80,60,60,10
25,20,15,10
60,60,60,60
60,40,20,10
80,60,45,25
60,60,40,30
60,60,60,60
65,45,35,20
25,10,10,10
60,45,35,20
25,20,15,15
40,30,20,10
60,45,30,20
60,60,60,60
80,40,40,25
50,35,25,20
60,60,60,40
70,60,50,40
30,25,20,10
50,30,20,10
80,60,60,40
50,40,30,10
50,50,20,10
60,60,60,60
45,40,30,25
50,40,35,20
75,60,40,15
40,30,20,15
50,30,25,15
60,30,25,15
30,25,15,10
50,40,25,10
25,20,15,10
75,50,45,35
50,40,30,10
80,60,50,30
70,65,40,30
10,10,10,10
60,60,60,60
40,30,20,15
40,15,10,10
25,20,15,10
35,30,15,10
50,45,25,10
60,60,60,60
60,60,60,60
55,50,40,35
50,35,25,20
60,60,60,60
25,20,15,10
35,30,25,25
60,60,60,15
80,55,30,10
60,30,20,10
40,25,15,10
60,35,25,10
80,70,60,35
60,60,60,60
80,55,35,25
80,75,65,60
20,15,10,10
60,30,15,10
80,70,60,30
60,60,60,60
80,65,45,20
60,60,60,60
45,40,35,20
45,25,20,15
60,60,60,60
70,45,40,30
60,30,25,10
30,30,30,30
50,45,15,15
40,25,20,10
60,50,35,30
30,25,15,10
30,15,10,10
40,35,15,10
65,10,10,10
60,55,10,10
60,35,20,10
40,20,20,10
60,60,60,60
80,40,40,10
30,25,15,10
35,15,15,10
25,25,20,10
80,65,45,15
50,40,30,20
30,30,15,10
10,10,10,10
80,80,60,10
60,50,40,30
60,60,60,60
35,35,35,35
60,60,60,60
40,35,25,10
60,60,60,60
80,40,30,10
80,60,50,10
40,25,15,10
80,75,55,50
50,40,20,10
65,60,50,40
80,45,25,10
50,40,30,20
60,60,60,60
70,60,40,20
10,10,10,10
40,40,25,10
25,20,15,10
80,80,80,20
40,30,20,10
25,15,10,10
60,50,50,50
45,40,20,15
80,60,60,40
80,60,60,10
45,40,30,20
80,60,50,45
60,60,60,60
60,60,60,60
50,40,40,30
60,60,60,60
60,40,25,10
45,40,30,20
60,45,25,10
60,60,60,60
60,45,30,10
60,60,60,60
30,20,15,10
70,60,45,10
60,30,30,20
80,60,40,30
60,60,60,60
50,40,15,10
60,60,60,60
